word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
8,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,594,15,19,0.140625,0.55,0.0078125,0.017592593
return,8,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,621,68,19,0.056770833,0.575,0.035416667,0.017592593
"""i""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,621,44,23,0.095833333,0.575,0.022916667,0.021296296
else if,8,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,648,87,20,0.033333333,0.6,0.0453125,0.018518519
index,10,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,648,59,20,0.089583333,0.6,0.030729167,0.018518519
==,9,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,648,27,13,0.1234375,0.6,0.0140625,0.012037037
9,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,648,15,19,0.140625,0.6,0.0078125,0.017592593
return,9,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,675,68,19,0.056770833,0.625,0.035416667,0.017592593
"""j""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,675,44,24,0.095833333,0.625,0.022916667,0.022222222
else,0,,"['function', 'block', 'block_content', 'if_stmt', 'else']",64,702,48,20,0.033333333,0.65,0.025,0.018518519
return,10,,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'return']",109,729,68,19,0.056770833,0.675,0.035416667,0.017592593
,0,,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'return', 'expr', 'literal']",184,729,55,23,0.095833333,0.675,0.028645833,0.021296296
